episode_id,timestep,split,node_id,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,mission_priority,in_disruption_zone,node_degree,dist_to_cs,dist_to_uav,can_reach_cs
0,2,train,S11,387.51,524.47,-3.02,1.24,3.26,79.64,3,0,1,439.12,243.12,0
0,2,train,S12,350.54,776.06,3.83,1.46,4.1,83.81,2,0,3,692.38,153.75,0
0,2,train,S13,569.95,664.46,-2.44,1.34,2.78,94.06,2,0,5,568.78,102.95,0
0,2,train,S14,660.77,494.21,4.79,-1.31,4.97,84.75,3,0,3,425.74,293.7,0
0,2,train,S15,658.64,310.32,1.12,3.74,3.9,86.11,1,0,4,263.44,458.03,0
0,2,train,S16,471.37,735.33,-1.61,-1.54,2.23,83.17,1,0,6,635.98,29.01,0
0,2,train,S17,568.07,418.52,-0.56,4.63,4.66,70.78,3,0,4,325.71,328.61,0
0,2,train,S18,518.87,617.46,-0.4,-1.01,1.08,89.36,3,1,4,517.81,123.98,0
0,2,train,S19,600.71,205.08,-0.64,-4.13,4.18,86.22,2,0,3,145.55,544.31,0
0,3,train,S0,547.12,193.61,-4.77,0.54,4.8,96.14,2,0,2,104.8,518.53,0
0,3,train,S1,308.49,371.29,1.02,-1.37,1.7,87.2,3,0,1,332.08,389.1,0
0,3,train,S2,596.78,408.54,-0.07,-1.73,1.73,72.06,3,0,5,323.36,316.61,0
0,3,train,S3,331.12,779.37,-1.07,-1.66,1.98,84.27,2,0,2,700.05,182.57,0
0,3,train,S4,443.02,666.96,2.39,0.54,2.45,95.62,1,0,3,569.81,71.41,0
0,3,train,S5,617.5,535.56,3.74,-2.57,4.54,70.28,2,0,5,451.13,210.33,0
0,3,train,S6,592.07,692.08,-0.26,0.99,1.02,92.33,3,0,4,599.2,93.8,0
0,3,train,S7,371.25,443.0,-0.39,-1.0,1.07,84.06,2,0,2,366.37,296.43,0
0,3,train,S8,685.48,819.76,-1.44,-1.76,2.27,90.45,1,0,0,743.28,215.52,0
0,3,train,S9,543.54,359.0,0.95,3.6,3.73,85.56,2,1,3,262.63,353.69,0
0,3,train,S10,677.83,175.93,4.3,-1.57,4.57,80.1,2,0,3,193.36,562.9,0
0,3,train,S11,384.49,525.7,-3.02,1.24,3.26,79.63,3,0,1,441.1,217.5,0
0,3,train,S12,354.37,777.52,3.83,1.46,4.1,83.8,2,0,3,692.99,160.52,0
0,3,train,S13,567.51,665.8,-2.44,1.34,2.78,94.05,2,0,5,569.81,80.69,0
0,3,train,S14,665.57,492.9,4.79,-1.31,4.97,84.74,3,0,3,426.36,273.03,0
0,3,train,S15,659.76,314.05,1.12,3.74,3.9,86.1,1,0,4,267.1,426.96,0
0,3,train,S16,469.76,733.79,-1.61,-1.54,2.23,83.16,1,0,6,634.51,38.48,0
0,3,train,S17,567.51,423.15,-0.56,4.63,4.66,70.77,3,0,4,330.12,294.69,0
0,3,train,S18,518.47,616.46,-0.4,-1.01,1.08,89.35,3,1,4,516.79,95.35,0
0,3,train,S19,600.07,200.96,-0.64,-4.13,4.18,86.21,2,0,3,142.15,518.78,0
0,4,train,S0,542.35,194.15,-4.77,0.54,4.8,96.13,2,0,1,103.24,487.69,0
0,4,train,S1,309.51,369.92,1.02,-1.37,1.7,87.19,3,0,1,330.37,363.92,0
0,4,train,S2,596.71,406.81,-0.07,-1.73,1.73,72.05,3,0,5,321.69,289.8,0
0,4,train,S3,330.04,777.71,-1.07,-1.66,1.98,84.26,2,0,2,698.7,196.04,0
0,4,train,S4,445.41,667.49,2.39,0.54,2.45,95.61,1,0,3,570.11,56.01,0
0,4,train,S5,621.24,532.99,3.74,-2.57,4.54,70.27,2,0,5,449.64,190.56,0
0,4,train,S6,591.81,693.07,-0.26,0.99,1.02,92.32,3,0,4,600.13,92.73,0
0,4,train,S7,370.86,442.0,-0.39,-1.0,1.07,84.05,2,0,2,365.57,270.78,0
0,4,train,S8,684.04,818.01,-1.44,-1.76,2.27,90.44,1,0,0,741.22,230.03,0
0,4,train,S9,544.49,362.6,0.95,3.6,3.73,85.55,2,1,3,266.34,320.5,0
0,4,train,S10,682.12,174.36,4.3,-1.57,4.57,80.09,2,0,1,196.72,537.44,0
0,4,train,S11,381.47,526.94,-3.02,1.24,3.26,79.62,3,0,2,443.09,193.59,0
0,4,train,S12,358.2,778.97,3.83,1.46,4.1,83.79,2,0,3,693.62,172.93,0
0,4,train,S13,565.06,667.13,-2.44,1.34,2.78,94.04,2,0,4,570.85,66.32,0
0,4,train,S14,670.36,491.59,4.79,-1.31,4.97,84.73,3,0,3,427.04,254.01,0
0,4,train,S15,660.89,317.79,1.12,3.74,3.9,86.09,1,0,3,270.77,396.33,0
0,4,train,S16,468.14,732.24,-1.61,-1.54,2.23,83.15,1,0,6,633.04,61.19,0
0,4,train,S17,566.95,427.77,-0.56,4.63,4.66,70.76,3,0,4,334.54,260.96,0
0,4,train,S18,518.08,615.45,-0.4,-1.01,1.08,89.34,3,1,3,515.77,67.03,0
0,4,train,S19,599.43,196.83,-0.64,-4.13,4.18,86.2,2,0,3,138.79,493.29,0
0,5,train,S0,537.58,194.69,-4.77,0.54,4.8,96.12,2,0,1,101.87,456.86,0
0,5,train,S1,310.52,368.55,1.02,-1.37,1.7,87.18,3,0,1,328.67,339.28,0
0,5,train,S2,596.64,405.09,-0.07,-1.73,1.73,72.04,3,0,5,320.02,263.29,0
0,5,train,S3,328.97,776.05,-1.07,-1.66,1.98,84.25,2,0,1,697.35,212.46,0
0,5,train,S4,447.8,668.03,2.39,0.54,2.45,95.6,1,0,3,570.42,55.23,0
0,5,train,S5,624.98,530.41,3.74,-2.57,4.54,70.26,2,0,5,448.19,172.98,0
0,5,train,S6,591.55,694.06,-0.26,0.99,1.02,92.31,3,0,4,601.07,101.6,0
0,5,train,S7,370.47,441.0,-0.39,-1.0,1.07,84.04,2,0,2,364.77,245.89,0
0,5,train,S8,682.6,816.25,-1.44,-1.76,2.27,90.43,1,0,0,739.16,246.94,0
0,5,train,S9,545.44,366.21,0.95,3.6,3.73,85.54,2,1,3,270.05,287.41,0
0,5,train,S10,686.42,172.8,4.3,-1.57,4.57,80.08,2,0,1,200.13,512.32,0
0,5,train,S11,378.45,528.17,-3.02,1.24,3.26,79.61,3,0,2,445.09,172.09,0
0,5,train,S12,362.03,780.43,3.83,1.46,4.1,83.78,2,0,3,694.28,189.87,0
0,5,train,S13,562.62,668.47,-2.44,1.34,2.78,94.03,2,0,4,571.91,65.29,0
0,5,train,S14,675.15,490.28,4.79,-1.31,4.97,84.72,3,0,3,427.78,237.04,0
0,5,train,S15,662.01,321.53,1.12,3.74,3.9,86.08,1,0,2,274.45,366.26,0
0,5,train,S16,466.53,730.7,-1.61,-1.54,2.23,83.14,1,0,6,631.58,87.36,0
0,5,train,S17,566.4,432.4,-0.56,4.63,4.66,70.75,3,0,4,338.97,227.5,0
0,5,train,S18,517.68,614.44,-0.4,-1.01,1.08,89.33,3,1,3,514.75,39.71,0
0,5,train,S19,598.78,192.71,-0.64,-4.13,4.18,86.19,2,0,2,135.47,467.84,0
0,6,train,S0,532.81,195.22,-4.77,0.54,4.8,96.11,2,0,1,100.72,426.04,0
0,6,train,S1,311.54,367.19,1.02,-1.37,1.7,87.17,3,0,1,326.97,315.33,0
0,6,train,S2,596.57,403.36,-0.07,-1.73,1.73,72.03,3,0,5,318.36,237.19,0
0,6,train,S3,327.89,774.39,-1.07,-1.66,1.98,84.24,2,0,1,696.0,231.21,0
0,6,train,S4,450.18,668.56,2.39,0.54,2.45,95.59,1,0,2,570.74,69.57,0
0,6,train,S5,628.73,527.84,3.74,-2.57,4.54,70.25,2,0,4,446.79,158.31,0
