episode_id,timestep,split,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,dist_to_cs,cs_connected,avg_sensor_dist,covered_sensors_count,network_components
2,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,240.47,14,4
2,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,236.68,13,4
2,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,235.3,14,4
2,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,235.93,16,4
2,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,238.45,16,4
2,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,243.11,16,5
2,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,250.25,15,5
2,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,259.77,15,5
2,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,271.49,13,5
2,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,272.24,13,5
2,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,273.04,13,6
2,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,273.87,13,6
2,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,274.75,13,6
2,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,275.66,13,7
2,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,276.61,13,7
3,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,360.1,9,4
3,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,338.39,9,4
3,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,319.73,11,4
3,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,303.58,11,4
3,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,289.38,11,4
3,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,276.86,12,4
3,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,265.89,13,4
3,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,256.58,13,4
3,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,249.12,15,3
3,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,243.78,15,5
3,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,240.27,15,6
3,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,238.48,14,6
3,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,239.97,13,6
3,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,244.2,11,7
3,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,250.35,11,7
3,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,258.36,12,7
3,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,268.4,11,7
3,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,280.6,11,6
3,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,294.93,12,4
3,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,295.21,12,4
3,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,295.51,12,4
3,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,295.83,12,5
3,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,296.16,12,4
3,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,296.51,11,4
3,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,296.87,11,4
4,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,342.61,8,3
4,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,320.02,9,3
4,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,299.11,13,3
4,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,279.76,13,3
4,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,261.88,14,3
4,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,245.47,15,2
4,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,230.53,15,2
4,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,217.27,16,2
4,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,206.37,16,2
4,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,198.75,16,2
4,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,194.72,15,2
4,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,194.24,16,2
4,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,197.38,16,2
4,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,203.94,15,2
4,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,213.44,15,2
4,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,225.46,15,2
4,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,239.64,15,2
4,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,255.63,14,1
4,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,274.62,14,3
4,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,274.48,14,3
4,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,274.39,14,3
4,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,274.35,14,4
4,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,274.37,14,4
4,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,274.46,14,5
4,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,274.64,14,5
5,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,316.99,10,4
5,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,297.26,12,4
5,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,279.32,13,5
5,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,263.34,13,6
5,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,249.6,13,6
5,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,238.6,14,6
5,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,230.89,15,5
5,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,226.1,15,5
5,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,223.57,15,5
5,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,223.24,16,5
5,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,225.25,16,5
5,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,229.35,15,5
5,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,235.48,14,5
5,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,243.78,14,5
5,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,253.77,14,5
5,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,266.41,12,5
5,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,283.25,11,5
5,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,302.77,11,4
5,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,324.18,10,2
5,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,325.1,9,2
5,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,326.03,9,3
5,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,326.98,9,4
5,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,327.95,9,4
5,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,328.94,9,4
5,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,329.94,9,4
6,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,356.37,9,7
6,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,338.14,9,6
6,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,320.8,10,5
