episode_id,timestep,split,source_node,target_node,distance_m,link_quality,is_active,crosses_disruption
0,2,train,S18,UAV,123.98,0.5867,1,1
0,3,train,S0,S10,131.9,0.3405,1,0
0,3,train,S0,S19,53.45,0.7327,1,0
0,3,train,S1,S7,95.29,0.5235,1,0
0,3,train,S2,S5,128.7,0.3565,1,0
0,3,train,S2,S9,72.73,0.6364,1,1
0,3,train,S2,S14,108.85,0.4557,1,0
0,3,train,S2,S15,113.56,0.4322,1,0
0,3,train,S2,S17,32.71,0.8365,1,0
0,3,train,S3,S12,23.32,0.8834,1,0
0,3,train,S3,UAV,182.57,0.3914,1,0
0,3,train,S4,S13,124.49,0.3775,1,0
0,3,train,S4,S16,71.98,0.6401,1,0
0,3,train,S4,UAV,71.41,0.762,1,0
0,3,train,S5,S13,139.51,0.3025,1,0
0,3,train,S5,S14,64.26,0.6787,1,0
0,3,train,S5,S17,123.02,0.3849,1,0
0,3,train,S5,S18,127.87,0.3606,1,1
0,3,train,S6,S13,35.97,0.8201,1,0
0,3,train,S6,S16,129.23,0.3539,1,0
0,3,train,S6,S18,105.52,0.4724,1,1
0,3,train,S6,UAV,93.8,0.6873,1,0
0,3,train,S7,S11,83.76,0.5812,1,0
0,3,train,S9,S15,124.61,0.3769,1,1
0,3,train,S9,S17,68.48,0.6576,1,1
0,3,train,S10,S15,139.3,0.3035,1,0
0,3,train,S10,S19,81.69,0.5916,1,0
0,3,train,S12,S16,123.4,0.383,1,0
0,3,train,S12,UAV,160.52,0.4649,1,0
0,3,train,S13,S16,119.07,0.4047,1,0
0,3,train,S13,UAV,80.69,0.731,1,0
0,3,train,S14,S17,120.33,0.3983,1,0
0,3,train,S15,S19,127.88,0.3606,1,0
0,3,train,S16,S18,127.04,0.3648,1,1
0,3,train,S16,UAV,38.48,0.8717,1,0
0,3,train,S18,UAV,95.35,0.6822,1,1
0,4,train,S0,S19,57.14,0.7143,1,0
0,4,train,S1,S7,94.65,0.5267,1,0
0,4,train,S2,S5,128.54,0.3573,1,0
0,4,train,S2,S9,68.42,0.6579,1,1
0,4,train,S2,S14,112.3,0.4385,1,0
0,4,train,S2,S15,109.75,0.4513,1,0
0,4,train,S2,S17,36.39,0.818,1,0
0,4,train,S3,S12,28.18,0.8591,1,0
0,4,train,S3,UAV,196.04,0.3465,1,0
0,4,train,S4,S13,119.66,0.4017,1,0
0,4,train,S4,S16,68.63,0.6569,1,0
0,4,train,S4,UAV,56.01,0.8133,1,0
0,4,train,S5,S14,64.23,0.6788,1,0
0,4,train,S5,S17,118.39,0.408,1,0
0,4,train,S5,S18,132.07,0.3396,1,1
0,4,train,S5,UAV,190.56,0.3648,1,0
0,4,train,S6,S13,37.25,0.8137,1,0
0,4,train,S6,S16,129.72,0.3514,1,0
0,4,train,S6,S18,107.06,0.4647,1,1
0,4,train,S6,UAV,92.73,0.6909,1,0
0,4,train,S7,S11,85.6,0.572,1,0
0,4,train,S9,S15,124.73,0.3764,1,1
0,4,train,S9,S17,68.94,0.6553,1,1
0,4,train,S10,S19,85.7,0.5715,1,0
0,4,train,S11,UAV,193.59,0.3547,1,0
0,4,train,S12,S16,119.46,0.4027,1,0
0,4,train,S12,UAV,172.93,0.4236,1,0
0,4,train,S13,S16,116.76,0.4162,1,0
0,4,train,S13,UAV,66.32,0.7789,1,0
0,4,train,S14,S17,121.51,0.3924,1,0
0,4,train,S15,S19,135.67,0.3216,1,0
0,4,train,S16,S18,127.02,0.3649,1,1
0,4,train,S16,UAV,61.19,0.796,1,0
0,5,train,S0,S19,61.23,0.6938,1,0
0,5,train,S1,S7,94.03,0.5298,1,0
0,5,train,S2,S5,128.5,0.3575,1,0
0,5,train,S2,S9,64.29,0.6785,1,1
0,5,train,S2,S14,115.86,0.4207,1,0
0,5,train,S2,S15,106.09,0.4695,1,0
